instance,name,description,fee,currency,frequency_of_payment,next_payment_date,status,type
,freyadance.hu,,3000,HUF,payment.annual,2024-12-01,1,domain
Mocorgó Siklós,Platform alapszolgáltatás,"Tartalmazza a platform alapvető szolgáltatásait: 2, korlátlan aldomain, 10 GB tárhely (honlap, e-mail fiók, adatbázis), SSL tanúsítvány (https), korlátlan e-mail fiók és alias, rendszeres biztonsági mentés, folyamatos karbantartás, továbbfejlesztés, éves rendelkezésre állás technikai kérdésekben.",30000,HUF,payment.annual,2024-12-01,1,basic
,tárhely 10 GB,,0,HUF,payment.annual,2024-12-01,1,hosting
,mocorgo.hu,,0,HUF,payment.annual,2024-12-01,1,domain
Herczeg Família,Platform alapszolgáltatás,"Tartalmazza a platform alapvető szolgáltatásait: 2, korlátlan aldomain, 10 GB tárhely (honlap, e-mail fiók, adatbázis), SSL tanúsítvány (https), korlátlan e-mail fiók és alias, rendszeres biztonsági mentés, folyamatos karbantartás, továbbfejlesztés, éves rendelkezésre állás technikai kérdésekben.",30000,HUF,payment.annual,2024-12-01,1,basic
,tárhely 10 GB,,0,HUF,payment.annual,2024-12-01,1,hosting
,izuletmuhely.hu,,0,HUF,payment.annual,2024-12-01,1,domain
Margaréta Apartman,Platform alapszolgáltatás,"Tartalmazza a platform alapvető szolgáltatásait: 2, korlátlan aldomain, 10 GB tárhely (honlap, e-mail fiók, adatbázis), SSL tanúsítvány (https), korlátlan e-mail fiók és alias, rendszeres biztonsági mentés, folyamatos karbantartás, továbbfejlesztés, éves rendelkezésre állás technikai kérdésekben.",30000,HUF,payment.annual,2024-12-01,1,basic
,tárhely 10 GB,,0,HUF,payment.annual,2024-12-01,1,hosting
,margaretaapartman.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,margaretahotel.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,bogacshotel.hu,,3000,HUF,payment.annual,2024-12-01,1,domain
Alati Autósbolt Siklós,Platform alapszolgáltatás,"Tartalmazza a platform alapvető szolgáltatásait: 2, korlátlan aldomain, 10 GB tárhely (honlap, e-mail fiók, adatbázis), SSL tanúsítvány (https), korlátlan e-mail fiók és alias, rendszeres biztonsági mentés, folyamatos karbantartás, továbbfejlesztés, éves rendelkezésre állás technikai kérdésekben.",30000,HUF,payment.annual,2024-12-01,1,basic
,tárhely 10 GB,,0,HUF,payment.annual,2024-12-01,1,hosting
,autoalkatresz.bolt.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,tili.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,etautosbolt.hu,,3000,HUF,payment.annual,2024-12-01,1,domain
Hunflex,Platform alapszolgáltatás,"Tartalmazza a platform alapvető szolgáltatásait: 2, korlátlan aldomain, 10 GB tárhely (honlap, e-mail fiók, adatbázis), SSL tanúsítvány (https), korlátlan e-mail fiók és alias, rendszeres biztonsági mentés, folyamatos karbantartás, továbbfejlesztés, éves rendelkezésre állás technikai kérdésekben.",30000,HUF,payment.annual,2024-12-01,1,basic
,tárhely 10 GB,,0,HUF,payment.annual,2024-12-01,1,hosting
,hollandmunkak.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,hunflex.hu,,0,HUF,payment.annual,2024-12-01,1,domain
,hunflex.nl,,6000,HUF,payment.annual,2024-12-01,1,domain
,flex-go.eu,,4000,HUF,payment.annual,2024-12-01,1,domain
,alfaflex.hu,,3000,HUF,payment.annual,2024-12-01,1,domain
Joe Taxi,Platform alapszolgáltatás,"Tartalmazza a platform alapvető szolgáltatásait: 2, korlátlan aldomain, 10 GB tárhely (honlap, e-mail fiók, adatbázis), SSL tanúsítvány (https), korlátlan e-mail fiók és alias, rendszeres biztonsági mentés, folyamatos karbantartás, továbbfejlesztés, éves rendelkezésre állás technikai kérdésekben.",30000,HUF,payment.annual,2024-12-01,1,basic
,tárhely 10 GB,,0,HUF,payment.annual,2025-12-01,1,hosting
,joetaxi.hu,,0,HUF,payment.annual,2025-12-01,1,domain
Valhalla Calling,Platform alapszolgáltatás,"Tartalmazza a platform alapvető szolgáltatásait: 2, korlátlan aldomain, 10 GB tárhely (honlap, e-mail fiók, adatbázis), SSL tanúsítvány (https), korlátlan e-mail fiók és alias, rendszeres biztonsági mentés, folyamatos karbantartás, továbbfejlesztés, éves rendelkezésre állás technikai kérdésekben.",30000,HUF,payment.annual,2024-12-01,1,basic
,tárhely 10 GB,,0,HUF,payment.annual,2025-12-01,1,hosting
,valhallacalling.hu,,0,HUF,payment.annual,2025-12-01,1,domain
